"InvoiceDate";"FullName";"Country";"TotalInvoices";"TotalQty";"TotalDue"
"12/1/2010 8:26";"Michelle Hart";"United Kingdom";7;40;136.0
"12/1/2010 8:28";"Michelle Hart";"United Kingdom";2;12;24.0
"12/1/2010 8:34";"Steven Scott";"United Kingdom";16;98;360.0
"12/1/2010 8:35";"Steven Scott";"United Kingdom";1;3;18.0
"12/1/2010 8:45";"Emma Paterson";"France";20;449;896.0
"12/1/2010 9:00";"Thomas Parr";"United Kingdom";1;80;240.0
"12/1/2010 9:01";"Michelle Hart";"United Kingdom";2;12;24.0
"12/1/2010 9:02";"Michelle Hart";"United Kingdom";16;88;258.0
"12/1/2010 9:09";"Jonathan Randall";"United Kingdom";1;32;352.0
"12/1/2010 9:32";"Michelle Hart";"United Kingdom";16;88;258.0
"12/1/2010 9:32";"Richard Parr";"United Kingdom";2;112;336.0
"12/1/2010 9:34";"Michelle Hart";"United Kingdom";2;12;24.0
"12/1/2010 9:37";"Simon Simpson";"United Kingdom";19;454;398.0
"12/1/2010 9:41";"Nathan Hardacre";"United Kingdom";1;24;24.0
"12/1/2010 9:41";"Phil Jones";"United Kingdom";34;196;433.0
"12/1/2010 9:41";"Dorothy Chapman";"United Kingdom";1;-1;-28.0
"12/1/2010 9:45";"Natalie Mathis";"United Kingdom";12;134;448.0
"12/1/2010 9:49";"Phil Jones";"United Kingdom";1;-1;-5.0
"12/1/2010 9:53";"Claire Baker";"United Kingdom";13;190;512.0
"12/1/2010 9:56";"Pippa Chapman";"United Kingdom";7;53;126.0
"12/1/2010 9:57";"Pippa Ferguson";"United Kingdom";3;236;580.0
"12/1/2010 9:58";"Pippa Ferguson";"United Kingdom";5;1440;2784.0
"12/1/2010 9:59";"Pippa May";"United Kingdom";14;108;233.0
"12/1/2010 10:03";"Simon Piper";"Australia";14;107;372.0
"12/1/2010 10:19";"Stephen Anderson";"United Kingdom";24;1568;1948.0
"12/1/2010 10:24";"Sam Dyer";"United Kingdom";7;-132;-132.0
"12/1/2010 10:29";"Cameron Davies";"United Kingdom";10;103;321.0
"12/1/2010 10:37";"Sue Duncan";"United Kingdom";1;8;80.0
"12/1/2010 10:39";"John Short";"United Kingdom";10;520;1084.0
"12/1/2010 10:47";"Joanne Forsyth";"United Kingdom";14;260;544.0
"12/1/2010 10:51";"Michelle Hart";"United Kingdom";18;102;378.0
"12/1/2010 10:51";"Olivia Welch";"United Kingdom";2;60;300.0
"12/1/2010 10:52";"Leonard Rees";"United Kingdom";17;150;428.0
"12/1/2010 10:52";"Michelle Hart";"United Kingdom";2;12;24.0
"12/1/2010 10:53";"Leonard Rees";"United Kingdom";1;12;12.0
"12/1/2010 11:21";"Owen Quinn";"United Kingdom";64;124;366.0
"12/1/2010 11:22";"Jasmine Ferguson";"United Kingdom";3;116;384.0
"12/1/2010 11:27";"Harry Fisher";"Netherlands";2;97;207.0
"12/1/2010 11:29";"Benjamin Graham";"United Kingdom";28;438;516.0
"12/1/2010 11:32";"Simon Edmunds";"United Kingdom";1;128;384.0
"12/1/2010 11:33";"Michelle Hart";"United Kingdom";17;96;352.0
"12/1/2010 11:34";"Michelle Hart";"United Kingdom";2;12;24.0
"12/1/2010 11:41";"Sean Wallace";"United Kingdom";48;558;799.0
"12/1/2010 11:45";"Audrey Langdon";"United Kingdom";58;173;227.0
"12/1/2010 11:49";"Victoria Gill";"United Kingdom";81;220;532.0
"12/1/2010 11:57";"Rebecca Fisher";"United Kingdom";59;228;400.0
"12/1/2010 11:58";"Donna Hardacre";"United Kingdom";6;110;206.0
"12/1/2010 12:03";"Bernadette Gibson";"United Kingdom";14;111;227.0
"12/1/2010 12:08";"Connor Ogden";"United Kingdom";9;78;314.0
"12/1/2010 12:08";"Justin North";"United Kingdom";17;137;342.0
"12/1/2010 12:12";"Owen Clarkson";"United Kingdom";6;1004;620.0
"12/1/2010 12:15";"Brian Clark";"United Kingdom";32;329;389.0
"12/1/2010 12:22";"Vanessa Blake";"United Kingdom";15;170;334.0
"12/1/2010 12:23";"Nicholas Sharp";"United Kingdom";85;160;282.0
"12/1/2010 12:23";"Vanessa Blake";"United Kingdom";2;18;36.0
"12/1/2010 12:27";"Edward Welch";"United Kingdom";13;1022;2284.0
"12/1/2010 12:31";"Trevor Forsyth";"United Kingdom";35;72;164.0
"12/1/2010 12:35";"Felicity Kerr";"United Kingdom";15;102;213.0
"12/1/2010 12:36";"Christian Parsons";"United Kingdom";5;39;103.0
"12/1/2010 12:38";"Lucas Walsh";"United Kingdom";2;216;216.0
"12/1/2010 12:38";"Trevor Forsyth";"United Kingdom";1;-6;-24.0
"12/1/2010 12:40";"Isaac Henderson";"United Kingdom";5;118;286.0
"12/1/2010 12:43";"Alan MacLeod";"United Kingdom";69;195;301.0
"12/1/2010 12:48";"Alexander Ross";"United Kingdom";1;1;5.0
"12/1/2010 12:49";"Stephen Mathis";"United Kingdom";54;86;197.0
"12/1/2010 12:50";"Isaac Davidson";"United Kingdom";12;112;200.0
"12/1/2010 12:51";"Nicholas Bell";"United Kingdom";3;18;54.0
"12/1/2010 12:54";"Yvonne Robertson";"United Kingdom";13;29;137.0
"12/1/2010 12:58";"Alexander Vance";"United Kingdom";9;94;318.0
"12/1/2010 13:04";"Felicity Bailey";"Germany";15;157;258.0
"12/1/2010 13:17";"Molly Wallace";"United Kingdom";57;124;313.0
"12/1/2010 13:20";"Karen Bell";"United Kingdom";9;38;164.0
"12/1/2010 13:21";"Carl Springer";"United Kingdom";23;72;196.0
"12/1/2010 13:23";"Nicholas Lee";"United Kingdom";21;368;938.0
"12/1/2010 13:24";"Eric Payne";"Norway";72;1840;1724.0
"12/1/2010 13:31";"Blake Peters";"United Kingdom";6;80;158.0
"12/1/2010 13:33";"Carol Taylor";"United Kingdom";5;51;111.0
"12/1/2010 13:38";"Sue Kerr";"United Kingdom";12;71;202.0
"12/1/2010 13:45";"Richard Dyer";"United Kingdom";3;95;187.0
"12/1/2010 13:51";"Max North";"United Kingdom";11;138;368.0
"12/1/2010 13:54";"Mary Metcalfe";"United Kingdom";31;146;273.0
"12/1/2010 14:03";"Dominic Mackay";"United Kingdom";27;160;484.0
"12/1/2010 14:05";"Eric Ross";"EIRE";20;237;554.0
"12/1/2010 14:11";"Elizabeth Bell";"United Kingdom";16;392;816.0
"12/1/2010 14:30";"Carl Forsyth";"United Kingdom";2;-3;-4.0
"12/1/2010 14:33";"Pippa Lambert";"Germany";13;-38;-125.0
"12/1/2010 14:34";"Chloe Ferguson";"United Kingdom";35;88;151.0
"12/1/2010 14:38";"David Bower";"United Kingdom";8;71;115.0
"12/1/2010 14:41";"Carl Forsyth";"United Kingdom";64;195;514.0
"12/1/2010 14:54";"Maria Rees";"United Kingdom";4;57;148.0
"12/1/2010 15:00";"Boris Bond";"United Kingdom";13;256;810.0
"12/1/2010 15:06";"Leonard Marshall";"United Kingdom";15;140;320.0
"12/1/2010 15:08";"Donna Rees";"United Kingdom";17;93;279.0
"12/1/2010 15:08";"Simon Morrison";"United Kingdom";9;165;145.0
"12/1/2010 15:08";"Donna Rees";"United Kingdom";2;12;48.0
"12/1/2010 15:21";"Anne Duncan";"United Kingdom";6;93;93.0
"12/1/2010 15:27";"Charles James";"United Kingdom";7;132;228.0
"12/1/2010 15:28";"Charles James";"United Kingdom";1;12;0.0
"12/1/2010 15:35";"Sean Blake";"United Kingdom";65;153;338.0
"12/1/2010 15:35";"Pippa Henderson";"United Kingdom";5;86;282.0
"12/1/2010 15:37";"Irene Allan";"United Kingdom";18;284;262.0
"12/1/2010 15:40";"Diane Johnston";"United Kingdom";21;301;469.0
"12/1/2010 15:45";"Dan McDonald";"United Kingdom";4;136;136.0
"12/1/2010 15:46";"Dan McDonald";"United Kingdom";1;3;18.0
"12/1/2010 16:01";"Bella Clark";"United Kingdom";8;858;1592.0
"12/1/2010 16:11";"Bella Clark";"United Kingdom";15;978;2344.0
"12/1/2010 16:13";"Bella Clark";"United Kingdom";4;388;388.0
"12/1/2010 16:15";"Alison MacLeod";"United Kingdom";8;104;276.0
"12/1/2010 16:16";"Bella Clark";"United Kingdom";2;276;276.0
"12/1/2010 16:17";"Alison MacLeod";"United Kingdom";6;66;96.0
"12/1/2010 16:19";"Bella Clark";"United Kingdom";1;200;400.0
"12/1/2010 16:21";"William Campbell";"United Kingdom";17;184;268.0
"12/1/2010 16:21";"Bella Clark";"United Kingdom";1;120;240.0
"12/1/2010 16:22";"Bella Clark";"United Kingdom";1;384;1152.0
"12/1/2010 16:24";"David Scott";"United Kingdom";1;2;20.0
"12/1/2010 16:25";"John Peters";"United Kingdom";7;44;352.0
"12/1/2010 16:33";"Victoria Lyman";"United Kingdom";22;313;245.0
"12/1/2010 16:49";"Amy Paige";"United Kingdom";11;103;284.0
"12/1/2010 16:52";"Kylie Marshall";"United Kingdom";14;74;199.0
"12/1/2010 16:57";"Irene Forsyth";"United Kingdom";29;64;131.0
"12/1/2010 16:58";"Irene Forsyth";"United Kingdom";6;12;36.0
"12/1/2010 17:15";"Vanessa Ince";"United Kingdom";5;19;83.0
"12/1/2010 17:22";"Felicity Hill";"United Kingdom";5;34;82.0
"12/1/2010 17:24";"Andrea Morrison";"United Kingdom";10;84;266.0
"12/1/2010 17:35";"Mary Baker";"United Kingdom";28;71;103.0
"12/2/2010 7:48";"Max Quinn";"United Kingdom";4;76;148.0
"12/2/2010 7:49";"Alexandra Russell";"United Kingdom";6;80;316.0
"12/2/2010 8:32";"Michelle Hart";"United Kingdom";12;56;252.0
"12/2/2010 8:33";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 8:34";"Michelle Hart";"United Kingdom";12;64;160.0
"12/2/2010 8:40";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 8:43";"Steven Mills";"United Kingdom";9;114;174.0
"12/2/2010 8:52";"Christopher Terry";"United Kingdom";15;107;269.0
"12/2/2010 9:10";"Ava Metcalfe";"United Kingdom";1;-2;-6.0
